"","country","field","level","sex","opiEU"
"1","Ireland","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Female","Very positive"
"2","Ireland","Engineering, manufacturing and construction","Bachelors degree or equivalent","Male","Very positive"
"3","France Metropolitan","Health","Bachelors degree or equivalent","Female","Quite positive"
"4","France Antilles","Health","Bachelors degree or equivalent","Female","Prefer not to answer"
"5","Germany","Arts and Humanities","A-level or equivalent","Female","Quite positive"
"6","France Metropolitan","Health","Bachelors degree or equivalent","Female","Quite positive"
"7","France Metropolitan","Natural sciences, mathematics and statistics","Masters degree or equivalent","Male","Quite positive"
"8","Germany","Business, administration and law","A-level or equivalent","Male","Quite positive"
"9","Germany","Social sciences, journalism and information","Bachelors degree or equivalent","Female",NA
"10","Germany","Business, administration and law","A-level or equivalent","Female","Quite positive"
"11","Germany","Business, administration and law","Bachelors degree or equivalent","Male","Quite positive"
"12","France Metropolitan","Arts and Humanities","Masters degree or equivalent","Female","Very positive"
"13","France Metropolitan","Other","Bachelors degree or equivalent","Male","Quite positive"
"14","Germany","Arts and Humanities","Bachelors degree or equivalent","Female","Neutral"
"15","France Metropolitan","Arts and Humanities","Masters degree or equivalent","Female","Quite positive"
"16","France Metropolitan","Other","Masters degree or equivalent","Female","Quite positive"
"17","Germany","Prefer not to answer","A-level or equivalent","Female","Neutral"
"18","France Metropolitan","Health","Bachelors degree or equivalent","Female","Quite positive"
"19","Germany","Social sciences, journalism and information","A-level or equivalent","Male","Quite positive"
"20","Turkey","Other","A-level or equivalent","Male","Neutral"
"21","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Quite positive"
"22","Ireland","Business, administration and law","Bachelors degree or equivalent","Female","Quite positive"
"23","Ireland","Arts and Humanities","A-level or equivalent","Female","Very positive"
"24","France Metropolitan","Health","Bachelors degree or equivalent","Male","Neutral"
"25","France Metropolitan","Arts and Humanities","Masters degree or equivalent","Female","Quite positive"
"26","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Female",NA
"27","France Antilles","Health","A-level or equivalent","Female","Neutral"
"28","France Metropolitan","Natural sciences, mathematics and statistics","Masters degree or equivalent","Female",NA
"29","France Metropolitan","Health","Bachelors degree or equivalent","Female","Quite positive"
"30","Germany","Prefer not to answer","A-level or equivalent","Male","Quite positive"
"31","Germany","Business, administration and law","A-level or equivalent","Female","Very positive"
"32","France Antilles","Business, administration and law","Bachelors degree or equivalent","Female","Neutral"
"33","Germany","Health","Bachelors degree or equivalent","Female","Very positive"
"34","Turkey","Business, administration and law","A-level or equivalent","Male","Quite positive"
"35","Turkey","Business, administration and law","A-level or equivalent","Female","Quite positive"
"36","France Metropolitan","Engineering, manufacturing and construction","Masters degree or equivalent","Female","Quite positive"
"37","Germany","Other","Masters degree or equivalent","Male","Quite positive"
"38","France Antilles","Other","Bachelors degree or equivalent","Female","Neutral"
"39","Ireland","Engineering, manufacturing and construction","Bachelors degree or equivalent","Male","Very positive"
"40","Turkey","Business, administration and law","Bachelors degree or equivalent","Female","Very positive"
"41","Germany","Social sciences, journalism and information","Masters degree or equivalent","Female","Quite positive"
"42","Tunisia","Other","Masters degree or equivalent","Female","Quite positive"
"43","Germany","Arts and Humanities","A-level or equivalent","Female","Quite negative"
"44","Germany","Health","A-level or equivalent","Female","Quite positive"
"45","Ireland","Arts and Humanities","Masters degree or equivalent","Male","Neutral"
"46","Germany","Arts and Humanities","A-level or equivalent","Male","Quite positive"
"47","Germany","Social sciences, journalism and information","A-level or equivalent","Male","Neutral"
"48","Turkey","Arts and Humanities","A-level or equivalent","Male","Quite positive"
"49","France Antilles","Social sciences, journalism and information","Prefer not to answer","Female",NA
"50","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Quite positive"
"51","Turkey","Engineering, manufacturing and construction","Prefer not to answer","Male","Neutral"
"52","France Metropolitan","Arts and Humanities","Masters degree or equivalent","Female","Quite positive"
"53","Germany","Natural sciences, mathematics and statistics","A-level or equivalent","Female","Quite positive"
"54","France Antilles","Business, administration and law","Bachelors degree or equivalent","Female","Quite negative"
"55","Germany","Arts and Humanities","Masters degree or equivalent","Male","Neutral"
"56","Germany","Arts and Humanities","Masters degree or equivalent","Male","Very positive"
"57","Germany","Health","Bachelors degree or equivalent","Female","Quite negative"
"58","Ireland","Arts and Humanities","PhD or equivalent","Male",NA
"59","Ireland","Social sciences, journalism and information","Masters degree or equivalent","Female","Very positive"
"60","Turkey","Business, administration and law","A-level or equivalent","Female","Quite positive"
"61","France Metropolitan","Engineering, manufacturing and construction","Masters degree or equivalent","Male","Very positive"
"62","France Antilles","Other","Masters degree or equivalent","Female",NA
"63","France Antilles","Health","A-level or equivalent","Male","Neutral"
"64","Tunisia","Business, administration and law","Bachelors degree or equivalent","Female","Neutral"
"65","France Metropolitan","Health","Bachelors degree or equivalent","Prefer not to answer","Neutral"
"66","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Quite negative"
"67","Germany","Prefer not to answer","Masters degree or equivalent","Female",NA
"68","Turkey","Engineering, manufacturing and construction","A-level or equivalent","Female","Very negative"
"69","Ireland","Social sciences, journalism and information","A-level or equivalent","Female","Very positive"
"70","France Antilles","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Female","Quite positive"
"71","Tunisia","Arts and Humanities","Masters degree or equivalent","Female","Neutral"
"72","France Metropolitan","Health","Bachelors degree or equivalent","Female","Quite positive"
"73","Germany","Other","Bachelors degree or equivalent","Female","Neutral"
"74","Germany","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Female","Quite positive"
"75","France Antilles","Other","Masters degree or equivalent","Female","Quite negative"
"76","Germany","Business, administration and law","A-level or equivalent","Female","Very positive"
"77","France Metropolitan","Social sciences, journalism and information","Masters degree or equivalent","Female","Very positive"
"78","France Metropolitan","Engineering, manufacturing and construction","Masters degree or equivalent","Female","Quite negative"
"79","Ireland","Other","Bachelors degree or equivalent","Female","Very positive"
"80","France Metropolitan","Other","Masters degree or equivalent","Female","Quite positive"
"81","Tunisia","Other","Bachelors degree or equivalent","Female","Neutral"
"82","Tunisia","Other","Masters degree or equivalent","Female","Quite positive"
"83","Tunisia","Arts and Humanities","Masters degree or equivalent","Female","Very positive"
"84","Ireland","Social sciences, journalism and information","A-level or equivalent","Female","Quite positive"
"85","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Neutral"
"86","France Metropolitan","Engineering, manufacturing and construction","Bachelors degree or equivalent","Male","Neutral"
"87","France Antilles","Other","Bachelors degree or equivalent","Male","Neutral"
"88","France Metropolitan","Natural sciences, mathematics and statistics","Masters degree or equivalent","Male","Neutral"
"89","Germany","Natural sciences, mathematics and statistics","A-level or equivalent","Female","Very positive"
"90","France Metropolitan","Arts and Humanities","Masters degree or equivalent","Male","Quite positive"
"91","Ireland","Other","A-level or equivalent","Female","Neutral"
"92","France Metropolitan","Social sciences, journalism and information","Masters degree or equivalent","Female","Quite positive"
"93","Germany","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Quite positive"
"94","Turkey","Business, administration and law","A-level or equivalent","Female","Neutral"
"95","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Male","Quite negative"
"96","Germany","Natural sciences, mathematics and statistics","A-level or equivalent","Male","Quite positive"
"97","Germany","Natural sciences, mathematics and statistics","A-level or equivalent","Female","Neutral"
"98","Germany","Health","Bachelors degree or equivalent","Female","Quite negative"
"99","Germany","Social sciences, journalism and information","Bachelors degree or equivalent","Male","Very negative"
"100","Turkey","Other","A-level or equivalent","Male","Very positive"
"101","Turkey","Business, administration and law","A-level or equivalent","Male","Neutral"
